film_id,title,description,release_year,language_id,original_language_id,rental_duration,rental_rate,length,replacement_cost,num_voted_users,rating,special_features,last_update
50, BAKED CLEOPATRA, A Stunning Drama of a Forensic Psychologist And a Husband who must Overcome a Waitress in A Monastery,2006,1,English,3,299.0,182,2099.0,9350, G, Commentaries, 2020-01-25 14:40:46
51, BALLOON HOMEWARD, A Insightful Panorama of a Forensic Psychologist And a Mad Cow who must Build a Mad Scientist in The First Manned Space Station,2006,1,English,5,299.0,75,1099.0,6150, NC-17, Deleted Scenes, 2020-01-25 14:40:46
52, BALLROOM MOCKINGBIRD, A Thrilling Documentary of a Composer And a Monkey who must Find a Feminist in California,2006,1,English,6,99.0,173,2999.0,2800, G, Commentaries, 2020-01-25 14:40:46
53, BANG KWAI, A Epic Drama of a Madman And a Cat who must Face a A Shark in An Abandoned Amusement Park,2006,1,English,5,299.0,87,2599.0,72500, NC-17, Commentaries, 2020-01-25 14:40:46
54, BANGER PINOCCHIO, A Awe-Inspiring Drama of a Car And a Pastry Chef who must Chase a Crocodile in The First Manned Space Station,2006,1,English,5,99.0,113,1599.0,46050, R, Trailers, 2020-01-25 14:40:46
55, BARBARELLA STREETCAR, A Awe-Inspiring Story of a Feminist And a Cat who must Conquer a Dog in A Monastery,2006,1,English,6,299.0,65,2799.0,12650, G, Behind the Scenes, 2020-01-25 14:40:46
56, BAREFOOT MANCHURIAN, A Intrepid Story of a Cat And a Student who must Vanquish a Girl in An Abandoned Amusement Park,2006,1,English,6,299.0,129,1599.0,2150, G, Trailers, 2020-01-25 14:40:46
57, BASIC EASY, A Stunning Epistle of a Man And a Husband who must Reach a Mad Scientist in A Jet Boat,2006,1,English,4,299.0,90,1899.0,49900, PG-13, Deleted Scenes, 2020-01-25 14:40:46
58, BEACH HEARTBREAKERS, A Fateful Display of a Womanizer And a Mad Scientist who must Outgun a A Shark in Soviet Georgia,2006,1,English,6,299.0,122,1699.0,11900, G, Deleted Scenes, 2020-01-25 14:40:46
59, BEAR GRACELAND, A Astounding Saga of a Dog And a Boy who must Kill a Teacher in The First Manned Space Station,2006,1,English,4,299.0,160,2099.0,64050, R, Deleted Scenes, 2020-01-25 14:40:46
60, BEAST HUNCHBACK, A Awe-Inspiring Epistle of a Student And a Squirrel who must Defeat a Boy in Ancient China,2006,1,English,3,499.0,89,2299.0,53400, R, Deleted Scenes, 2020-01-25 14:40:46
61, BEAUTY GREASE, A Fast-Paced Display of a Composer And a Moose who must Sink a Robot in An Abandoned Mine Shaft,2006,1,English,5,499.0,175,2899.0,74800, G, Trailers, 2020-01-25 14:40:46
62, BED HIGHBALL, A Astounding Panorama of a Lumberjack And a Dog who must Redeem a Woman in An Abandoned Fun House,2006,1,English,5,299.0,106,2399.0,59650, NC-17, Trailers, 2020-01-25 14:40:46
63, BEDAZZLED MARRIED, A Astounding Character Study of a Madman And a Robot who must Meet a Mad Scientist in An Abandoned Fun House,2006,1,English,6,99.0,73,2199.0,74050, PG, Trailers, 2020-01-25 14:40:46
64, BEETHOVEN EXORCIST, A Epic Display of a Pioneer And a Student who must Challenge a Butler in The Gulf of Mexico,2006,1,English,6,99.0,f151,2699.0,37100, PG-13, Commentaries, 2020-01-25 14:40:46
65, BEHAVIOR RUNAWAY, A Unbelieveable Drama of a Student And a Husband who must Outrace a Sumo Wrestler in Berlin,2006,1,English,3,499.0,100,2099.0,40550, PG, Trailers, 2020-01-25 14:40:46
66, BENEATH RUSH, A Astounding Panorama of a Man And a Monkey who must Discover a Man in The First Manned Space Station,2006,1,English,6,99.0,53,2799.0,14350, NC-17, Commentaries, 2020-01-25 14:40:46
67, BERETS AGENT, A Taut Saga of a Crocodile And a Boy who must Overcome a Technical Writer in Ancient China,2006,1,English,5,299.0,77,2499.0,27150, PG-13, Deleted Scenes, 2020-01-25 14:40:46
68, BETRAYED REAR, A Emotional Character Study of a Boat And a Pioneer who must Find a Explorer in A Shark Tank,2006,1,English,5,499.0,122,2699.0,15750, NC-17, Commentaries, 2020-01-25 14:40:46
69, BEVERLY OUTLAW, A Fanciful Documentary of a Womanizer And a Boat who must Defeat a Madman in The First Manned Space Station,2006,1,English,3,299.0,85,2199.0,74350, R, Trailers, 2020-01-25 14:40:46
70, BIKINI BORROWERS, A Astounding Drama of a Astronaut And a Cat who must Discover a Woman in The First Manned Space Station,2006,1,English,7,499.0,142,2699.0,16250, NC-17, Commentaries, 2020-01-25 14:40:46
71, BILKO ANONYMOUS, A Emotional Reflection of a Teacher And a Man who must Meet a Cat in The First Manned Space Station,2006,1,English,3,499.0,100,2599.0,12400, PG-13, Commentaries, 2020-01-25 14:40:46
72, BILL OTHERS, A Stunning Saga of a Mad Scientist And a Forensic Psychologist who must Challenge a Squirrel in A MySQL Convention,2006,1,English,6,299.0,93,1299.0,13200, PG, Trailers, 2020-01-25 14:40:46
73, BINGO TALENTED, A Touching Tale of a Girl And a Crocodile who must Discover a Waitress in Nigeria,2006,1,English,5,299.0,150,2299.0,28900, PG-13, Trailers, 2020-01-25 14:40:46
74, BIRCH ANTITRUST, A Fanciful Panorama of a Husband And a Pioneer who must Outgun a Dog in A Baloon,2006,1,English,4,499.0,162,1899.0,27750, PG, Trailers, 2020-01-25 14:40:46
75, BIRD INDEPENDENCE, A Thrilling Documentary of a Car And a Student who must Sink a Hunter in The Canadian Rockies,2006,1,English,6,499.0,163,1499.0,52200, G, Commentaries, 2020-01-25 14:40:46
76, BIRDCAGE CASPER, A Fast-Paced Saga of a Frisbee And a Astronaut who must Overcome a Feminist in Ancient India,2006,1,English,4,99.0,103,2399.0,23600, NC-17, Commentaries, 2020-01-25 14:40:46
77, BIRDS PERDITION, A Boring Story of a Womanizer And a Pioneer who must Face a Dog in California,2006,1,English,5,499.0,61,1599.0,38450, G, Trailers, 2020-01-25 14:40:46
78, BLACKOUT PRIVATE, A Intrepid Yarn of a Pastry Chef And a Mad Scientist who must Challenge a Secret Agent in Ancient Japan,2006,1,English,7,299.0,85,1299.0,44550, PG, Trailers, 2020-01-25 14:40:46
79, BLADE POLISH, A Thoughtful Character Study of a Frisbee And a Pastry Chef who must Fight a Dentist in The First Manned Space Station,2006,1,English,5,99.0,114,1099.0,30250, PG-13, Trailers, 2020-01-25 14:40:46
80, BLANKET BEVERLY, A Emotional Documentary of a Student And a Girl who must Build a Boat in Nigeria,2006,1,English,7,299.0,148,2199.0,17600, G, Trailers, 2020-01-25 14:40:46
81, BLINDNESS GUN, A Touching Drama of a Robot And a Dentist who must Meet a Hunter in A Jet Boat,2006,1,English,6,499.0,103,2999.0,74350, PG-13, Trailers, 2020-01-25 14:40:46
82, BLOOD ARGONAUTS, A Boring Drama of a Explorer And a Man who must Kill a Lumberjack in A Manhattan Penthouse,2006,1,English,3,99.0,71,1399.0,10750, G, Trailers, 2020-01-25 14:40:46
83, BLUES INSTINCT, A Insightful Documentary of a Boat And a Composer who must Meet a Forensic Psychologist in An Abandoned Fun House,2006,1,English,5,299.0,50,1899.0,62000, G, Trailers, 2020-01-25 14:40:46
84, BOILED DARES, A Awe-Inspiring Story of a Waitress And a Dog who must Discover a Dentist in Ancient Japan,2006,1,English,7,499.0,102,1399.0,46500, PG, Trailers, 2020-01-25 14:40:46
85, BONNIE HOLOCAUST, A Fast-Paced Story of a Crocodile And a Robot who must Find a Moose in Ancient Japan,2006,1,English,4,99.0,63,2999.0,46650, G, Deleted Scenes, 2020-01-25 14:40:46
86, BOOGIE AMELIE, A Lacklusture Character Study of a Husband And a Sumo Wrestler who must Succumb a Technical Writer in The Gulf of Mexico,2006,1,English,6,499.0,121,1199.0,16600, R, Commentaries, 2020-01-25 14:40:46
87, BOONDOCK BALLROOM, A Fateful Panorama of a Crocodile And a Boy who must Defeat a Monkey in The Gulf of Mexico,2006,1,English,7,99.0,76,1499.0,20150, NC-17, Behind the Scenes, 2020-01-25 14:40:46
88, BORN SPINAL, A Touching Epistle of a Frisbee And a Husband who must Pursue a Student in Nigeria,2006,1,English,7,499.0,f179,1799.0,50900, PG, Trailers, 2020-01-25 14:40:46
89, BORROWERS BEDAZZLED, A Brilliant Epistle of a Teacher And a Sumo Wrestler who must Defeat a Man in An Abandoned Fun House,2006,1,English,7,99.0,63,2299.0,39950, G, Commentaries, 2020-01-25 14:40:46
90, BOULEVARD MOB, A Fateful Epistle of a Moose And a Monkey who must Confront a Lumberjack in Ancient China,2006,1,English,3,99.0,63,1199.0,47250, R, Trailers, 2020-01-25 14:40:46
91, BOUND CHEAPER, A Thrilling Panorama of a Database Administrator And a Astronaut who must Challenge a Lumberjack in A Baloon,2006,1,English,5,99.0,98,1799.0,39250, PG, Behind the Scenes, 2020-01-25 14:40:46
92, BOWFINGER GABLES, A Fast-Paced Yarn of a Waitress And a Composer who must Outgun a Dentist in California,2006,1,English,7,499.0,72,1999.0,54450, NC-17, Trailers, 2020-01-25 14:40:46
93, BRANNIGAN SUNRISE, A Amazing Epistle of a Moose And a Crocodile who must Outrace a Dog in Berlin,2006,1,English,4,499.0,121,2799.0,500, PG, Trailers, 2020-01-25 14:40:46
94, BRAVEHEART HUMAN, A Insightful Story of a Dog And a Pastry Chef who must Battle a Girl in Berlin,2006,1,English,7,299.0,176,1499.0,70400, PG-13, Trailers, 2020-01-25 14:40:46
95, BREAKFAST GOLDFINGER, A Beautiful Reflection of a Student And a Student who must Fight a Moose in Berlin,2006,1,English,5,499.0,123,1899.0,42200, G, Trailers, 2020-01-25 14:40:46
96, BREAKING HOME, A Beautiful Display of a Secret Agent And a Monkey who must Battle a Sumo Wrestler in An Abandoned Mine Shaft,2006,1,English,4,299.0,169,2199.0,76850, PG-13, Trailers, 2020-01-25 14:40:46
97, BRIDE INTRIGUE, A Epic Tale of a Robot And a Monkey who must Vanquish a Man in New Orleans,2006,1,English,7,99.0,56,2499.0,26650, G, Trailers, 2020-01-25 14:40:46
98, BRIGHT ENCOUNTERS, A Fateful Yarn of a Lumberjack And a Feminist who must Conquer a Student in A Jet Boat,2006,1,English,4,499.0,73,1299.0,56700, PG-13, Trailers, 2020-01-25 14:40:46
99, BRINGING HYSTERICAL, A Fateful Saga of a A Shark And a Technical Writer who must Find a Woman in A Jet Boat,2006,1,English,7,299.0,136,1499.0,49450, PG, Trailers, 2020-01-25 14:40:46
100, BROOKLYN DESERT, A Beautiful Drama of a Dentist And a Composer who must Battle a Sumo Wrestler in The First Manned Space Station,2006,1,English,7,499.0,161,2199.0,300, R, Commentaries, 2020-01-25 14:40:46
101, BROTHERHOOD BLANKET, A Fateful Character Study of a Butler And a Technical Writer who must Sink a Astronaut in Ancient Japan,2006,1,English,3,99.0,73,2699.0,7100, R, Behind the Scenes, 2020-01-25 14:40:46
102, BUBBLE GROSSE, A Awe-Inspiring Panorama of a Crocodile And a Moose who must Confront a Girl in A Baloon,2006,1,English,4,499.0,60,2099.0,34800, R, Trailers, 2020-01-25 14:40:46
103, BUCKET BROTHERHOOD, A Amazing Display of a Girl And a Womanizer who must Succumb a Lumberjack in A Baloon Factory,2006,1,English,7,499.0,133,2799.0,75500, PG, Commentaries, 2020-01-25 14:40:46
104, BUGSY SONG, A Awe-Inspiring Character Study of a Secret Agent And a Boat who must Find a Squirrel in The First Manned Space Station,2006,1,English,4,299.0,119,1799.0,42000, G, Commentaries, 2020-01-25 14:40:46
105, BULL SHAWSHANK, A Fanciful Drama of a Moose And a Squirrel who must Conquer a Pioneer in The Canadian Rockies,2006,1,English,6,99.0,125,2199.0,60650, NC-17, Deleted Scenes, 2020-01-25 14:40:46
106, BULWORTH COMMANDMENTS, A Amazing Display of a Mad Cow And a Pioneer who must Redeem a Sumo Wrestler in The Outback,2006,1,English,4,299.0,61,1499.0,23250, G, Trailers, 2020-01-25 14:40:46
107, BUNCH MINDS, A Emotional Story of a Feminist And a Feminist who must Escape a Pastry Chef in A MySQL Convention,2006,1,English,4,299.0,63,1399.0,11250, G, Behind the Scenes, 2020-01-25 14:40:46
108, BUTCH PANTHER, A Lacklusture Yarn of a Feminist And a Database Administrator who must Face a Hunter in New Orleans,2006,1,English,6,99.0,67,1999.0,63650, PG-13, Trailers, 2020-01-25 14:40:46
109, BUTTERFLY CHOCOLAT, A Fateful Story of a Girl And a Composer who must Conquer a Husband in A Shark Tank,2006,1,English,3,99.0,89,1799.0,53350, G, Behind the Scenes, 2020-01-25 14:40:46
110, CABIN FLASH, A Stunning Epistle of a Boat And a Man who must Challenge a A Shark in A Baloon Factory,2006,1,English,4,99.0,53,2599.0,75750, NC-17, Commentaries, 2020-01-25 14:40:46
111, CADDYSHACK JEDI, A Awe-Inspiring Epistle of a Woman And a Madman who must Fight a Robot in Soviet Georgia,2006,1,English,3,99.0,52,1799.0,64600, NC-17, Commentaries, 2020-01-25 14:40:46
112, CALENDAR GUNFIGHT, A Thrilling Drama of a Frisbee And a Lumberjack who must Sink a Man in Nigeria,2006,1,English,4,499.0,120,2299.0,18850, NC-17, Trailers, 2020-01-25 14:40:46
113, CALIFORNIA BIRDS, A Thrilling Yarn of a Database Administrator And a Robot who must Battle a Database Administrator in Ancient India,2006,1,English,4,499.0,75,1999.0,54600, NC-17, Trailers, 2020-01-25 14:40:46
114, CAMELOT VACATION, A Touching Character Study of a Woman And a Waitress who must Battle a Pastry Chef in A MySQL Convention,2006,1,English,3,99.0,61,2699.0,62200, NC-17, Trailers, 2020-01-25 14:40:46
115, CAMPUS REMEMBER, A Astounding Drama of a Crocodile And a Mad Cow who must Build a Robot in A Jet Boat,2006,1,English,5,299.0,167,2799.0,70350, R, Behind the Scenes, 2020-01-25 14:40:46
116, CANDIDATE PERDITION, A Brilliant Epistle of a Composer And a Database Administrator who must Vanquish a Mad Scientist in The First Manned Space Station,2006,1,English,4,299.0,70,1099.0,11000, R, Deleted Scenes, 2020-01-25 14:40:46
117, CANDLES GRAPES, A Fanciful Character Study of a Monkey And a Explorer who must Build a Astronaut in An Abandoned Fun House,2006,1,English,6,499.0,135,1599.0,75200, NC-17, Trailers, 2020-01-25 14:40:46
118, CANYON STOCK, A Thoughtful Reflection of a Waitress And a Feminist who must Escape a Squirrel in A Manhattan Penthouse,2006,1,English,7,99.0,85,2699.0,34850, R, Trailers, 2020-01-25 14:40:46
119, CAPER MOTIONS, A Fateful Saga of a Moose And a Car who must Pursue a Woman in A MySQL Convention,2006,1,English,6,99.0,176,2299.0,25750, G, Trailers, 2020-01-25 14:40:46
120, CARIBBEAN LIBERTY, A Fanciful Tale of a Pioneer And a Technical Writer who must Outgun a Pioneer in A Shark Tank,2006,1,English,3,499.0,92,1699.0,24100, NC-17, Commentaries, 2020-01-25 14:40:46
121, CAROL TEXAS, A Astounding Character Study of a Composer And a Student who must Overcome a Composer in A Monastery,2006,1,English,4,299.0,151,1599.0,43400, PG, Trailers, 2020-01-25 14:40:46
122, CARRIE BUNCH, A Amazing Epistle of a Student And a Astronaut who must Discover a Frisbee in The Canadian Rockies,2006,1,English,7,99.0,114,1199.0,67650, PG, Trailers, 2020-01-25 14:40:46
123, CASABLANCA SUPER, A Amazing Panorama of a Crocodile And a Forensic Psychologist who must Pursue a Secret Agent in The First Manned Space Station,2006,1,English,6,499.0,85,2299.0,54050, G, Trailers, 2020-01-25 14:40:46
124, CASPER DRAGONFLY, A Intrepid Documentary of a Boat And a Crocodile who must Chase a Robot in The Sahara Desert,2006,1,English,3,499.0,163,1699.0,67300, PG-13, Trailers, 2020-01-25 14:40:46
125, CASSIDY WYOMING, A Intrepid Drama of a Frisbee And a Hunter who must Kill a Secret Agent in New Orleans,2006,1,English,5,299.0,fff61,1999.0,20250, NC-17, Commentaries, 2020-01-25 14:40:46
126, CASUALTIES ENCINO, A Insightful Yarn of a A Shark And a Pastry Chef who must Face a Boy in A Monastery,2006,1,English,3,499.0,179,1699.0,53550, G, Trailers, 2020-01-25 14:40:46
127, CAT CONEHEADS, A Fast-Paced Panorama of a Girl And a A Shark who must Confront a Boy in Ancient India,2006,1,English,5,499.0,112,1499.0,52950, G, Commentaries, 2020-01-25 14:40:46
128, CATCH AMISTAD, A Boring Reflection of a Lumberjack And a Feminist who must Discover a Woman in Nigeria,2006,1,English,7,99.0,183,1099.0,27000, G, Trailers, 2020-01-25 14:40:46
129, CAUSE DATE, A Taut Tale of a Explorer And a Pastry Chef who must Conquer a Hunter in A MySQL Convention,2006,1,English,3,299.0,179,1699.0,53300, R, Commentaries, 2020-01-25 14:40:46
130, CELEBRITY HORN, A Amazing Documentary of a Secret Agent And a Astronaut who must Vanquish a Hunter in A Shark Tank,2006,1,English,7,99.0,110,2499.0,31400, PG-13, Deleted Scenes, 2020-01-25 14:40:46
131, CENTER DINOSAUR, A Beautiful Character Study of a Sumo Wrestler And a Dentist who must Find a Dog in California,2006,1,English,5,499.0,152,1299.0,74050, PG, Deleted Scenes, 2020-01-25 14:40:46
132, CHAINSAW UPTOWN, A Beautiful Documentary of a Boy And a Robot who must Discover a Squirrel in Australia,2006,1,English,6,99.0,114,2599.0,45100, PG, Deleted Scenes, 2020-01-25 14:40:46
133, CHAMBER ITALIAN, A Fateful Reflection of a Moose And a Husband who must Overcome a Monkey in Nigeria,2006,1,English,7,499.0,117,1499.0,3300, NC-17, Trailers, 2020-01-25 14:40:46
134, CHAMPION FLATLINERS, A Amazing Story of a Mad Cow And a Dog who must Kill a Husband in A Monastery,2006,1,English,4,499.0,51,2199.0,35300, PG, Trailers, 2020-01-25 14:40:46
135, CHANCE RESURRECTION, A Astounding Story of a Forensic Psychologist And a Forensic Psychologist who must Overcome a Moose in Ancient China,2006,1,English,3,299.0,70,2299.0,12450, R, Commentaries, 2020-01-25 14:40:46
